id,source,loc,item_type,requirement,target_value,legacy_producer,track_P_module,track_R_module,acceptance_test,tolerance,status
R-001,refactor_preprocess,shape_raw,validation,"raw shape (421, 53)",421 x 53,../review/srcs_0/dwts_preprocess.py,preprocessing,shared,test_preprocess,,implemented
R-002,refactor_preprocess,score_cols,validation,44 judge score columns,44,../review/srcs_0/dwts_preprocess.py,preprocessing,shared,test_preprocess,,implemented
R-003,refactor_preprocess,max_week,validation,max week in columns = 11,11,../review/srcs_0/dwts_preprocess.py,preprocessing,shared,test_preprocess,,implemented
R-004,refactor_preprocess,n_seasons,validation,34 seasons (1..34),34,../review/srcs_0/dwts_preprocess.py,preprocessing,shared,test_preprocess,,implemented
R-005,refactor_preprocess,zeros_raw,validation,raw literal zeros = 4671,4671,../review/srcs_0/dwts_preprocess.py,preprocessing,shared,test_preprocess,,implemented
R-006,refactor_preprocess,missing_raw,validation,raw missing scores = 4741,4741,../review/srcs_0/dwts_preprocess.py,preprocessing,shared,test_preprocess,,implemented
R-007,refactor_preprocess,clean_missing,validation,"clean missing scores = 9412 (zeros -> NaN, N/A preserved)",9412,../review/srcs_0/dwts_preprocess.py,preprocessing,shared,test_preprocess,,implemented
R-008,refactor_preprocess,shape_clean,validation,"df_clean shape (421, ~60)",421 x ~60,../review/srcs_0/dwts_preprocess.py,preprocessing,shared,test_preprocess,,implemented
R-009,refactor_preprocess,shape_long,validation,"df_long_judge shape (18524, ~21)",18524 x ~21,../review/srcs_0/dwts_preprocess.py,preprocessing,shared,test_preprocess,,implemented
R-010,refactor_preprocess,shape_weekly,validation,"df_weekly shape (4199, ~23)",4199 x ~23,../review/srcs_0/dwts_preprocess.py,preprocessing,shared,test_preprocess,,implemented
R-011,refactor_preprocess,shape_roster,validation,"df_roster shape (4199, ~7)",4199 x ~7,../review/srcs_0/dwts_preprocess.py,preprocessing,shared,test_preprocess,,implemented
R-012,refactor_preprocess,shape_elim,validation,"df_elim_events shape (292, ~5)",292 x ~5,../review/srcs_0/dwts_preprocess.py,preprocessing,shared,test_preprocess,,implemented
R-013,refactor_preprocess,withdrawn,validation,withdrawn contestants = 10,10,../review/srcs_0/dwts_preprocess.py,preprocessing,shared,test_preprocess,,implemented
R-014,refactor_preprocess,final_place,validation,final-placement rows = 113,113,../review/srcs_0/dwts_preprocess.py,preprocessing,shared,test_preprocess,,implemented
R-015,refactor_preprocess,performed,validation,performed weekly rows = 2777,2777,../review/srcs_0/dwts_preprocess.py,preprocessing,shared,test_preprocess,,implemented
R-016,refactor_preprocess,eligible,validation,eligible weekly rows = 2780,2780,../review/srcs_0/dwts_preprocess.py,preprocessing,shared,test_preprocess,,implemented
R-017,refactor_preprocess,final_events,validation,final events = 34,34,../review/srcs_0/dwts_preprocess.py,preprocessing,shared,test_preprocess,,implemented
R-018,refactor_preprocess,nonfinal_events,validation,non-final events = 258,258,../review/srcs_0/dwts_preprocess.py,preprocessing,shared,test_preprocess,,implemented
R-019,refactor_preprocess,m_elim,validation,"non-final m_elim distribution {1:218, 2:37, 3:3}","{1:218, 2:37, 3:3}",../review/srcs_0/dwts_preprocess.py,preprocessing,shared,test_preprocess,,implemented
R-020,refactor_preprocess,era_official,requirement,"Official era mapping: 1-2 rank, 3-27 percent, 28-34 rank (Bottom-2 ~28+)",1-2 rank; 3-27 pct; 28-34 rank,../review/srcs_0/dwts_preprocess.py,preprocessing,preprocessing,test_preprocess,,implemented
R-021,refactor_preprocess,era_legacy,requirement,Legacy era mapping suspected reversed (season>=28 -> percent); audit before reuse,suspected,../src/model.py,preprocessing,preprocessing,test_preprocess,,implemented
R-022,refactor_problem1,panel_cols,requirement,"Problem 1 panel columns (alive, elim_this_week_end, is_final_week, j_metric, era, ...)",,../review/problem1_rebuild/problem1_fan_support.py,problem1.model,shared,test_problem1_panel,,implemented
R-023,refactor_problem1,train_weeks,validation,training weeks ~218 single-elimination non-final weeks,218,../review/problem1_rebuild/problem1_fan_support.py,problem1.model,shared,test_problem1_panel,,implemented
R-024,refactor_problem1,features,requirement,"Features j_metric_z, age_z, era_is_percent + contestant-season intercept",,../review/problem1_rebuild/problem1_fan_support.py,problem1.model,shared,test_problem1_panel,,implemented
R-025,refactor_problem1,hyperparams,hyperparameter,tau_train=0.05 tau_like=0.15 kappa=10 l2_beta=l2_u=0.05 lr=0.02 steps=600 bs=32 B=1200 seed=42,see description,../review/problem1_rebuild/problem1_fan_support.py,problem1.model,shared,test_problem1_track_p,,implemented
R-026,refactor_problem1,posterior_metrics,requirement,"Posterior outputs p_mean, ci_lo_05, ci_hi_95, ci_width, ci_rel_width, ess, ess_ratio, pcp, has_posterior",,../review/problem1_rebuild/problem1_fan_support.py,problem1.model,shared,test_problem1_track_p,,implemented
R-027,refactor_problem1,eval,requirement,"Evaluation: top-1, season accuracy, PCP vs alive_n, RW, ESS",,../review/problem1_rebuild/problem1_fan_support.py,problem1.eval,shared,test_problem1_evaluate,,implemented
R-028,refactor_problem1,top1_rebuild,metric,Review rebuild overall top-1 accuracy,0.949541,../review/problem1_rebuild/outputs/problem1_summary.json,problem1.eval,shared,test_problem1_evaluate,,implemented
R-029,refactor_problem1,overclaim,requirement,Do not claim p_mean is true fan vote; it is a posterior estimate,,,problem1.model,shared,test_top1_metrics_are_in_sample_and_labeled,,implemented
R-030,review_all,track_r_marginal,formula,"Track R: P(Y|beta,u) = integral P(Y|p,J) Dirichlet(p|kappa q) dp (avoid double use)",,,problem1.model,problem1.model,test_problem1_track_r,,implemented
R-031,review_all,alive_set,formula,"Alive set A_s,t = {i: eligible}; eligible = 1{t<=H_i,s} 1{t<=T_s}",,../review/srcs_0/dwts_preprocess.py,preprocessing,shared,test_preprocess,,implemented
R-032,review_all,season_len,formula,"Season length T_s = max{w: exists i, sum_j X_{i,s,w,j} > 0}",,../review/srcs_0/dwts_preprocess.py,preprocessing,shared,test_preprocess,,implemented
R-033,review_all,horizon,formula,"Active horizon H_i,s (elim week / season len / last positive week for withdrew)",,../review/srcs_0/dwts_preprocess.py,preprocessing,shared,test_preprocess,,implemented
R-034,review_all,judge_signal,formula,Judge signal J: percentage = T/sum T; rank = exp(-R)/sum exp(-R),,../src/model.py,problem1.model,shared,test_problem1_panel,,implemented
