id,section,loc,item_type,description,stated_value,legacy_producer,track_P_module,track_R_module,acceptance_test,tolerance,status
P-001,Prep,A1,assumption,"Eliminations modeled only on regular single-elimination weeks; alive set A_s,t correctly identified",,,preprocessing,shared,planned,,implemented
P-002,Prep,A2,assumption,"Judge scores treated as relative performance ranking, rescaled comparable across weeks/seasons",,,preprocessing,shared,planned,,implemented
P-003,Prep,A3,assumption,Weekly fan voting is a vote-share vector p; expected pattern q via softmax,,,problem1.model,shared,planned,,implemented
P-004,Prep,A4,assumption,Elimination probabilistic; worse combined signal more likely; temperature governs randomness,,,problem1.model,shared,planned,,implemented
P-005,Prep,A5,assumption,Weekly fan shares vary around trend q via Dirichlet centered at q,,,problem1.model,shared,planned,,implemented
P-006,Prep,A6,assumption,Counterfactual invariance: rule change does not change judge scores or fan preference,,,problem2.rules,shared,planned,,implemented
P-007,Prep,A7,assumption,Within-season judging standard stable enough that judge-signal changes track real improvement,,,problem3.regression,shared,planned,,implemented
P-008,Prep,A8,assumption,"Fan support comparable across seasons at matched checkpoints, not across weeks within a season",,,problem3.regression,shared,planned,,implemented
P-009,Prep,A9,assumption,Bottom-2 judges save: judges eliminate technically weaker of the bottom two,,,problem2.rules,shared,planned,,implemented
P-010,Prep,notations,table,"Notations table: core symbols (s,t,i,A,J,p,q,kappa,S,tau,i*,PCP,e_hat,Bottom2)",,,shared,shared,planned,,planned
P-011,Prep,preprocess-1,formula,Structural-zero handling: post-elimination zeros recoded NaN; original N/A preserved,,../src/0data_cleaning.ipynb; ../review/srcs_0/dwts_preprocess.py,preprocessing,shared,planned,,implemented
P-012,Prep,preprocess-2,formula,"Outcome parsing: elim_week_result, is_withdrew, is_place; withdrawals excluded",,../src/0data_cleaning.ipynb,preprocessing,shared,planned,,implemented
P-013,Prep,preprocess-3,formula,Season length and activity window (active_until) -> weekly alive set,,../src/0data_cleaning.ipynb,preprocessing,shared,planned,,implemented
P-014,Prep,preprocess-4,formula,"Analysis tables: long judge, weekly panel, judge_rank/judge_percent, roster, elim events",,../src/build_event_table.py; ../review/srcs_0/dwts_preprocess.py,preprocessing,shared,planned,,implemented
P-015,Prep,preprocess-5,formula,"Cross-season rank normalization Z^J = Phi^-1(clip(1-(R^J-0.5)/N, 0.001, 0.999)) (Problem 3 only)",,../src/dwts_pro_celeb_regression.py,problem3.regression,shared,planned,,implemented
P-016,Problem 1,eq:J_pct,formula,Percentage-era judge signal J = T_i / sum_k T_k,,../src/model.py,problem1.model,shared,planned,,implemented
P-017,Problem 1,eq:J_rank,formula,Rank-era judge signal J = exp(-R_i) / sum_k exp(-R_k),,../src/model.py,problem1.model,shared,planned,,implemented
P-018,Problem 1,eq:latent_score,formula,"Latent popularity eta = x^T beta + u, u ~ N(0, sigma_u^2); x = {J, age}",,../src/model_new.py,problem1.model,shared,planned,,implemented
P-019,Problem 1,eq:prior_mean,formula,Expected fan share q = softmax(eta) = exp(eta)/sum exp(eta),,../src/model.py,problem1.model,shared,planned,,implemented
P-020,Problem 1,eq:combined,formula,Combined score C = J + q,,../src/model.py,problem1.model,shared,planned,,implemented
P-021,Problem 1,eq:softmin,formula,Softmin elimination likelihood Pr(i* elim) = exp(-C_i*/tau)/sum exp(-C_k/tau),,../src/model.py,problem1.model,problem1.model (R: integrated marginal),planned,,implemented
P-022,Problem 1,eq:nll,formula,Penalized NLL L = sum [C_i*/tau + log sum exp(-C_k/tau)] + l_beta||beta||^2 + l_u||u||^2,,../src/model.py,problem1.model,shared,planned,,implemented
P-023,Problem 1,eq:posterior,formula,Dirichlet posterior pi(p|i*) propto (prod p_i^{kappa q_i - 1}) * softmin evidence,,../src/posterior_uncertainty.py,problem1.model,problem1.model (R),planned,,implemented
P-024,Problem 1,is,formula,"Importance sampling: draw p^b ~ Dirichlet(kappa q), reweight by softmin, weighted posterior",,../src/posterior_uncertainty.py,problem1.model,problem1.model (R),planned,,implemented
P-025,Problem 1,week_trajectory.jpg,figure,Posterior fan-support trajectories (Season 8) heatmap,visual,../src/plot_uncertainty.py,problem1.model,shared,planned,,implemented
P-026,Problem 1,eq:top1,metric,Top-1 accuracy A = 1/N sum 1{argmin C_hat = i*},,../src/eval_metrics_viz.py,problem1.eval,shared,planned,,implemented
P-027,Problem 1,acc_xgb,metric,"XGBoost baseline top-1 accuracy (paper 0.806554; legacy run gives week-mean 0.821101 / season-mean 0.817496, D-20260901-11)",0.806554,../src/xgb_baseline.py,problem1.eval,shared,planned,,implemented
P-028,Problem 1,acc_torch,metric,torch_model top-1 accuracy (wins every season),0.952092,../src/model.py; ../src/model_new.py,problem1.eval,shared,planned,,implemented
P-029,Problem 1,1_model_accuracy_line.png,figure,In-season accuracy by season (torch vs xgboost),visual,../src/plot_cv_accuracy_line.py,problem1.eval,shared,planned,,implemented
P-030,Problem 1,eq:cum_consistency,metric,"Cumulative consistency S_s = (1/H_K) sum_k (1/k)(n'_s,k / n_s,k)",,../src/eval_metrics_viz.py,problem1.eval,shared,planned,,implemented
P-031,Problem 1,cum_S,metric,Season-averaged cumulative consistency,0.78,../src/eval_metrics_viz.py,problem1.eval,shared,planned,,implemented
